TW_SPOTIFY_POS,SPOTIFY_CHART_MOVEMENT,ARTIST_TITLE,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS
63,-3,FISHER - Atmosphere (w/ Kita Alexander),148,57,,73191,-1260.0,473723,9162,8313221
64,+14,Richy Mitch & The Coal Miners - Evergreen,97,64,,72565,6252.0,448321,2500,4937102
65,-2,SZA - Kill Bill,418,1,(x26),72326,1198.0,473006,5796,59083960
66,+1,Flume - Never Be Like You (w/ Kai),979,1,(x19),71800,1519.0,485261,2942,47985336
67,-3,Kanye West - Heartless,614,39,,71562,488.0,484827,-1932,30020937
68,-3,J. Cole - No Role Modelz,2080,20,,71373,577.0,483487,-3178,85808290
69,+3,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),1925,1,(x27),71342,2807.0,488388,1158,151395592
70,+3,Morgan Wallen - You Proof,485,13,,71271,3415.0,483766,-967,31510063
71,-3,Frank Ocean - Pink + White,494,38,,71234,1593.0,474264,-1858,26551632
72,-1,Taylor Swift - Lover,361,2,(x1),70888,2135.0,462874,3987,23251181
73,-3,Dominic Fike - Babydoll,142,43,,70650,1882.0,454192,-664,8351657
74,-5,Rema - Calm Down (w/ Selena Gomez),506,18,,69888,706.0,488096,-7280,37214056
75,-1,Chris Stapleton - You Should Probably Leave,191,63,,68043,982.0,477025,-2949,10130036
76,+6,The Weeknd - Blinding Lights,1519,1,(x65),66738,970.0,455916,42,143965925
77,+2,David Guetta - I'm Good (Blue) (w/ Bebe Rexha),521,1,(x5),66511,572.0,461276,-3579,55281081
78,+3,"Elton John - Cold Heart - PNAU Remix (w/ Dua Lipa, PNAU)",899,1,(x12),66433,578.0,485280,-3866,95877887
79,+10,Miley Cyrus - Party In The U.S.A.,1909,27,,66002,2337.0,467188,-3484,81439700
80,+11,The Weeknd - Starboy (w/ Daft Punk),1521,1,(x83),65399,2417.0,443038,2757,83256948
81,+2,Coldplay - Yellow,1084,23,,65307,-183.0,453746,-102,45887661
82,+5,SZA - Snooze,406,29,,65266,1136.0,424248,3961,26794449
83,+2,Rihanna - We Found Love (w/ Calvin Harris),444,17,,65237,936.0,448069,-2876,19158749
84,-4,"Timbaland - The Way I Are (w/ Keri Hilson, D.O.E.)",389,68,,64962,-933.0,457487,-780,16744528
85,+12,Creedence Clearwater Revival - Fortunate Son,377,59,,64934,4523.0,466292,-3578,17798804
86,+13,Good Neighbours - Home,3,86,,64873,4934.0,172428,64873,172428
87,+1,Olivia Rodrigo - Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,87,20,,64869,910.0,428112,-2876,6603936
88,-2,Zach Bryan - Dawns (w/ Maggie Rogers),174,43,,64635,379.0,435269,-1139,9735517
89,-5,Taylor Swift - Don’t Blame Me,536,12,,64629,185.0,427980,2343,28472632
90,-14,Noah Kahan - Dial Drunk (w/ Post Malone),53,44,,64180,-2191.0,435752,-3597,2812750
91,-1,The Goo Goo Dolls - Iris,1092,30,,63477,-70.0,440108,-2665,50906085
92,-17,Fred again.. - adore u (w/ Obongjayar),146,29,,63303,-3377.0,417527,12992,8366722
93,+3,Morgan Wallen - Wasted On You,332,71,,63267,2121.0,422214,2408,17454934
94,-1,Justin Bieber - Ghost,847,8,,63106,582.0,419108,3744,62241361
95,-3,Dylan Gossett - Coal,51,81,,62702,5.0,428819,-1157,2553444
96,-2,Luke Combs - The Kind of Love We Make,593,13,,61877,-127.0,447478,-7212,47316326
97,-2,OneRepublic - Counting Stars,1576,39,,61258,-426.0,426601,-4768,50952807
