date,artist_names,track_name,rank,previous_rank,rank_change,peak_rank,days_at_peak,days_on_chart,popularity_score,daily_streams,daily_streams_change,7Day_streams,7Day_streams_change,total_streams,label,track_id
05-02-2024,Carly Rae Jepsen,Call Me Maybe,187,144,-43,113,,283,85,46481,-3500.0,346723,-954,12176286,Silent Records IGA,20I6sIOMTCkB6w7ryavxtO
05-02-2024,Zach Bryan,Oklahoma Smokeshow,188,184,-4,94,,34,85,46467,162.0,189903,46467,1592385,Warner Records,0OWhKvvsHptt6vnnNUSM9a
05-02-2024,Bon Jovi,Livin' On A Prayer,189,169,-20,75,,361,89,46452,-1163.0,347877,-2218,13998080,Island Records,37ZJ0p5Jm13JPevGcx4SkF
05-02-2024,"Drake, Yeat",IDGAF (feat. Yeat),190,194,4,5,,116,92,46369,1213.0,237808,-2155,8532683,OVO/Republic,2YSzYUF3jWqb9YP9VXmpjE
05-02-2024,Troye Sivan,One Of Your Girls,191,198,7,19,,113,86,46281,1479.0,348743,-6898,7972929,EMI Recorded Music Australia Pty Ltd,5Eh1nj7IjV9lwpcKAkidyY
05-02-2024,Bryan Martin,We Ride,192,189,-3,136,,62,83,46213,279.0,336139,-197,2900784,Average Joes Entertainment,72kGuWpRiuA149Bn5lDkIO
05-02-2024,Florence + The Machine,Dog Days Are Over,193,-1,RE,52,,262,84,46130,,327884,-10357,13807823,Universal-Island Records Ltd.,456WNXWhDwYOSf5SpTuqxd
05-02-2024,Jason Mraz,I'm Yours,194,-1,RE,79,,874,83,45938,,93396,45938,26669550,Atlantic Records/ATG,3S0OXQeoh0w6AY8WQVckRW
05-02-2024,"Kendrick Lamar, Jay Rock",Money Trees,195,-1,RE,27,,734,84,45890,,186268,-199,35775912,Aftermath,2HbKqm4o0w5wEeEFXm2sD4
05-02-2024,Fleetwood Mac,Go Your Own Way - 2004 Remaster,196,164,-32,50,,1551,83,45866,-2233.0,341846,704,62526822,Rhino/Warner Records,07GvNcU1WdyZJq3XxP0kZa
05-02-2024,Kylie Minogue,Padam Padam,197,-1,RE,50,,100,77,45613,,45613,45613,5223988,Liberator Music,44MuEHdlociG8KjhPhOVw5
05-02-2024,"RAYE, 070 Shake",Escapism.,198,181,-17,3,2.0,409,86,45575,-850.0,283694,45575,36136717,Human Re Sources,5mHdCZtVyb4DcJw8799hZp
05-02-2024,J. Cole,Wet Dreamz,199,-1,RE,74,,688,86,45442,,92258,45442,28086925,Roc Nation Records LLC,4tqcoej1zPvwePZCzuAjJd
05-02-2024,"Kanye West, Jamie Foxx",Gold Digger,200,-1,RE,40,,665,70,45343,,287593,-857,23786913,Roc-A-Fella,3QHPHLAkYV5cQBUYs6rowx
