ARTIST_TITLE,SPOTIFY_POS,SPOTIFY_MOVEMENT,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_DAILY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS,ON_TOUR,ACTIVE_PROMO,ARIA_LW,ARIA_TW
Zach Bryan - Hey Driver (w/ The War and Treaty),62,-1,159,29,,74163,378,512362,-4500,10730499,,,,
FISHER - Atmosphere (w/ Kita Alexander),63,-3,148,57,,73191,-1260,473723,9162,8313221,,,,
Richy Mitch & The Coal Miners - Evergreen,64,14,97,64,,72565,6252,448321,2500,4937102,,,,
SZA - Kill Bill,65,-2,418,1,26,72326,1198,473006,5796,59083960,,,,
Flume - Never Be Like You (w/ Kai),66,1,979,1,19,71800,1519,485261,2942,47985336,,,,
Kanye West - Heartless,67,-3,614,39,,71562,488,484827,-1932,30020937,,,,
J. Cole - No Role Modelz,68,-3,2080,20,,71373,577,483487,-3178,85808290,,,,
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),69,3,1925,1,27,71342,2807,488388,1158,151395592,,,,
Morgan Wallen - You Proof,70,3,485,13,,71271,3415,483766,-967,31510063,,,,
Frank Ocean - Pink + White,71,-3,494,38,,71234,1593,474264,-1858,26551632,,,,
Taylor Swift - Lover,72,-1,361,2,1,70888,2135,462874,3987,23251181,,,,
Dominic Fike - Babydoll,73,-3,142,43,,70650,1882,454192,-664,8351657,,,,
Rema - Calm Down (w/ Selena Gomez),74,-5,506,18,,69888,706,488096,-7280,37214056,,,,
Chris Stapleton - You Should Probably Leave,75,-1,191,63,,68043,982,477025,-2949,10130036,,,,
The Weeknd - Blinding Lights,76,6,1519,1,65,66738,970,455916,42,143965925,,,,
David Guetta - I'm Good (Blue) (w/ Bebe Rexha),77,2,521,1,5,66511,572,461276,-3579,55281081,,,,
"Elton John - Cold Heart - PNAU Remix (w/ Dua Lipa, PNAU)",78,3,899,1,12,66433,578,485280,-3866,95877887,,,,
Miley Cyrus - Party In The U.S.A.,79,10,1909,27,,66002,2337,467188,-3484,81439700,,,,
The Weeknd - Starboy (w/ Daft Punk),80,11,1521,1,83,65399,2417,443038,2757,83256948,,,,
Coldplay - Yellow,81,2,1084,23,,65307,-183,453746,-102,45887661,,,,
SZA - Snooze,82,5,406,29,,65266,1136,424248,3961,26794449,,,,
Rihanna - We Found Love (w/ Calvin Harris),83,2,444,17,,65237,936,448069,-2876,19158749,,,,
"Timbaland - The Way I Are (w/ Keri Hilson, D.O.E.)",84,-4,389,68,,64962,-933,457487,-780,16744528,,,,
Creedence Clearwater Revival - Fortunate Son,85,12,377,59,,64934,4523,466292,-3578,17798804,,,,
Good Neighbours - Home,86,13,3,86,,64873,4934,172428,64873,172428,,,,
Olivia Rodrigo - Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,87,1,87,20,,64869,910,428112,-2876,6603936,,,,
Zach Bryan - Dawns (w/ Maggie Rogers),88,-2,174,43,,64635,379,435269,-1139,9735517,,,,
Taylor Swift - Don’t Blame Me,89,-5,536,12,,64629,185,427980,2343,28472632,,,,
Noah Kahan - Dial Drunk (w/ Post Malone),90,-14,53,44,,64180,-2191,435752,-3597,2812750,,,,
The Goo Goo Dolls - Iris,91,-1,1092,30,,63477,-70,440108,-2665,50906085,,,,
Fred again.. - adore u (w/ Obongjayar),92,-17,146,29,,63303,-3377,417527,12992,8366722,,,,
Morgan Wallen - Wasted On You,93,3,332,71,,63267,2121,422214,2408,17454934,,,,
Justin Bieber - Ghost,94,-1,847,8,,63106,582,419108,3744,62241361,,,,
Dylan Gossett - Coal,95,-3,51,81,,62702,5,428819,-1157,2553444,,,,
Luke Combs - The Kind of Love We Make,96,-2,593,13,,61877,-127,447478,-7212,47316326,,,,
OneRepublic - Counting Stars,97,-2,1576,39,,61258,-426,426601,-4768,50952807,,,,
Taylor Swift - cardigan,98,6,398,1,6,61223,2789,382429,9604,23427981,,,,
The Lumineers - Ophelia,99,13,156,72,,61195,3743,397727,1116,5857704,,,,
Tory Lanez - The Color Violet,100,1,522,27,,60793,1436,399375,1139,32258750,,,,
Ice Spice - Think U The Shit (Fart),101,-1,4,85,,60740,814,229896,60740,229896,,,,
Gunna - fukumean,102,-4,219,5,,60668,726,414063,-5474,23796299,,,,
Marvin Gaye - Ain't No Mountain High Enough (w/ Tammi Terrell),103,6,234,64,,60323,2704,434222,-6424,11106838,,,,
Nicki Minaj - FTCU,104,6,47,45,,59885,2280,408794,-4092,3140312,,,,
Florence + The Machine - Dog Days Are Over,105,11,290,52,,59554,3067,390158,-342,13539493,,,,
Kanye West - Father Stretch My Hands Pt. 1,106,-1,207,51,,59464,1238,400785,1883,7727624,,,,
Frank Ocean - Lost,107,7,854,15,,58746,1603,408343,-1053,44556250,,,,
Eminem - Without Me,108,-5,1045,39,,58726,258,416374,-2379,46255149,,,,
Matt Sassari - Give It To Me - Full Vocal Mix,109,-2,228,88,,58592,834,400481,-5556,10162899,,,,
Taylor Swift - Karma,110,7,337,7,,58440,2153,377828,3368,24360337,,,,
Jordan Davis - Buy Dirt (w/ Luke Bryan),111,,270,92,,58294,798,407758,1608,12864572,,,,
"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",112,-10,760,40,,58173,-386,402981,-3788,38148501,,,,
Kings of Leon - Sex on Fire,113,,1111,55,,57634,435,399149,-1648,46654220,,,,
Kanye West - Runaway (w/ Pusha T),114,1,79,81,,57000,-63,399276,968,4326183,,,,
The Kid LAROI - Stay (w/ Justin Bieber),115,3,933,1,160,56442,625,395237,-3864,124956756,,,,
Coldplay - Viva La Vida,116,3,531,24,,56266,951,391323,-372,28609910,,,,
Nicki Minaj - Big Foot,117,5,2,117,,56233,1327,111139,56233,111139,,,,
blink-182 - All The Small Things,118,3,309,64,,56125,879,383141,1202,13197861,,,,
G Flip - The Worst Person Alive,119,-42,4,55,,55806,-10533,252801,55806,252801,,,,
Jessie Murph - Wild Ones (w/ Jelly Roll),120,,79,92,,55475,197,381794,-3196,4232403,,,,
The Neighbourhood - Sweater Weather,121,3,1185,20,,55373,818,368938,136,66980836,,,,
Avicii - Wake Me Up,122,1,1564,12,,55314,494,383772,-3165,53448912,,,,
Kendrick Lamar - All The Stars (w/ SZA),123,7,815,2,13,55161,1545,363965,2225,48718796,,,,
Dom Dolla - Eat Your Man (w/ Nelly Furtado),124,-16,121,57,,55033,-2622,209827,55033,5906661,,,,
Chris Stapleton - Tennessee Whiskey,125,,240,79,,54957,454,404153,-5787,11531223,,,,
Chris Brown - Angel Numbers / Ten Toes,126,2,40,107,,54908,860,366071,-495,1996361,,,,
Luke Combs - Beautiful Crazy,127,,505,31,,54661,402,397800,-4250,25907225,,,,
Luke Combs - When It Rains It Pours,128,1,521,23,,54642,886,404803,-5242,29585917,,,,
Bryan Adams - Summer Of '69,129,8,1665,47,,54599,1807,393409,-2184,62888768,,,,
Creedence Clearwater Revival - Bad Moon Rising,130,21,104,85,,54415,3801,392243,-447,4706594,,,,
The Police - Every Breath You Take,131,3,151,105,,54388,1294,385814,-113,6595454,,,,
Post Malone - Circles,132,11,1588,2,64,54204,2101,263818,-1834,118750183,,,,
Imagine Dragons - Demons,133,2,453,40,,54144,1260,369741,-1257,7747148,,,,
Tame Impala - The Less I Know The Better,134,-8,1583,6,,54056,-352,384390,-5353,52278957,,,,
Linkin Park - In the End,135,5,88,19,,53500,1235,307171,-1449,3837493,,,,
Eminem - Lose Yourself,136,2,2400,34,,53303,654,374247,-2259,66807059,,,,
Tom Odell - Another Love,137,2,774,18,,53151,767,308917,-1964,47051382,,,,
Kanye West - Flashing Lights (w/ Dwele),138,3,303,87,,53039,815,354864,225,14435618,,,,
Troye Sivan - One Of Your Girls,139,-7,107,19,,52660,-519,296199,1746,7676846,,,,
Hotel Ugly - Shut up My Moms Calling,140,2,427,66,,52521,340,297460,-282,19738906,,,,
"21 Savage - née-nah (w/ Travis Scott, Metro Boomin)",141,-10,19,23,,52078,-1364,366901,-10948,1360365,,,,
Sabrina Carpenter - Nonsense,142,2,270,10,,51945,-113,299951,-986,13564576,,,,
Red Hot Chili Peppers - Can't Stop,143,12,70,100,,51827,2073,346123,-2183,3283231,,,,
Morgan Wallen - Spin You Around (1/24),144,-38,4,106,,51660,-6356,203520,51660,203520,,,,
