Artist,Title,Playlist,Position,Followers
CXLOE,No Service,New Music Friday AU & NZ,38,370625
CXLOE,No Service,Pop n' Fresh,6,120591
mgk,dont let me go,New Music Friday AU & NZ,39,370625
Erika de Casier,Test It,New Music Friday AU & NZ,40,370625
Erika de Casier,Test It,Front Left,19,564388
Erika de Casier,Test It,Indie Arrivals,10,70676
"SiR, Isaiah Rashad",Karma,New Music Friday AU & NZ,41,370625
"SiR, Isaiah Rashad",Karma,R&B Connect,5,198361
LF SYSTEM,All I've Got,New Music Friday AU & NZ,42,370625
Bugzy Malone,Ladies,New Music Friday AU & NZ,43,370625
Bugzy Malone,Ladies,The Drip,11,89193
"Rudimental, Skepsis, Charlotte Plank, Riko Dan",Green & Gold (feat. Charlotte Plank & Riko Dan),New Music Friday AU & NZ,44,370625
"Rudimental, Skepsis, Charlotte Plank, Riko Dan",Green & Gold (feat. Charlotte Plank & Riko Dan),New Dance Beats,30,139692
YNG Martyr,SUPERBAD,New Music Friday AU & NZ,45,370625
YNG Martyr,SUPERBAD,The Drip,35,89193
"Elley Duhé, Whethan",MONEY ON THE DASH,New Music Friday AU & NZ,46,370625
"Elley Duhé, Whethan",MONEY ON THE DASH,Dance Generation,9,411025
"Elley Duhé, Whethan",MONEY ON THE DASH,New Dance Beats,2,139692
BADASSMUTHA,Crocs,New Music Friday AU & NZ,47,370625
"Timmy Trumpet, Captain Curtis",Just A Kid,New Music Friday AU & NZ,48,370625
"Timmy Trumpet, Captain Curtis",Just A Kid,New Dance Beats,12,139692
GROUPLOVE,Chances,New Music Friday AU & NZ,49,370625
IU,Shopper,New Music Friday AU & NZ,50,370625
Donny Benét,Forbidden Love,New Music Friday AU & NZ,51,370625
Donny Benét,Forbidden Love,Front Left,32,564388
Donny Benét,Forbidden Love,Indie Arrivals,14,70676
Miles Nautu,Third Eye Chakra,New Music Friday AU & NZ,52,370625
Miles Nautu,Third Eye Chakra,The Drip,12,89193
Miles Nautu,Third Eye Chakra,the hybrid,3,26946
Tora,Jigglypuff,New Music Friday AU & NZ,53,370625
Tora,Jigglypuff,New Dance Beats,32,139692
"Bullion, Panda Bear",A City’s Never,New Music Friday AU & NZ,54,370625
"Bullion, Panda Bear",A City’s Never,Indie Arrivals,32,70676
"Bullion, Panda Bear",A City’s Never,Alt Here,18,47671
Lady Shaka,E Tu,New Music Friday AU & NZ,55,370625
Lady Shaka,E Tu,New Dance Beats,17,139692
Mason Dane,FALLING,New Music Friday AU & NZ,56,370625
Mason Dane,FALLING,The Drip,32,89193
"Lepani, Tamillia",Antidote,New Music Friday AU & NZ,57,370625
Norah Jones,Staring at the Wall,New Music Friday AU & NZ,58,370625
Mia Dyson,Dare,New Music Friday AU & NZ,59,370625
Mia Dyson,Dare,Indie Arrivals,21,70676
Catfish and the Bottlemen,Showtime,New Music Friday AU & NZ,60,370625
Catfish and the Bottlemen,Showtime,Rock Out.,12,90232
Novo Amor,"Same Day, Same Face",New Music Friday AU & NZ,61,370625
Novo Amor,"Same Day, Same Face",Indie Arrivals,41,70676
"Church & AP, deadforest",POSTAL,New Music Friday AU & NZ,62,370625
