DATE,ARTIST_TITLE,SPOTIFY_POS,SPOTIFY_MOVEMENT,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_DAILY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS,ON_TOUR,ACTIVE_PROMO,ARIA_LW,ARIA_TW
2024-01-31,Noah Kahan - Stick Season,1,,118,1,5.0,341982,-16631.0,2267792,22709,19335038,,,,
2024-01-31,Jack Harlow - Lovin On Me,2,,83,1,72.0,306579,-15934.0,2176118,-20633,26776791,,,,
2024-01-31,Tate McRae - greedy,3,,139,1,9.0,234101,-10999.0,1588179,968,31554220,,,,
2024-01-31,"cassö - Prada (w/ RAYE, D-Block Europe)",4,,172,4,,221413,-12025.0,1499980,24297,27193512,,,,
2024-01-31,Benson Boone - Beautiful Things,5,3.0,13,5,,216529,23860.0,1090390,102751,1803614,,,,
2024-01-31,Taylor Swift - Cruel Summer,6,-1.0,361,1,1.0,215955,-1651.0,1478935,15296,50298470,,,,
2024-01-31,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),7,,160,4,,198430,2371.0,1309979,-1476,26455506,,,,
2024-01-31,Teddy Swims - Lose Control,8,-2.0,89,6,,188371,-14114.0,1257355,14982,9130502,,,,
2024-01-31,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",9,2.0,244,5,,173386,-1443.0,1186971,16630,30878649,,,,
2024-01-31,Sophie Ellis-Bextor - Murder On The Dancefloor,10,-1.0,35,4,,172886,-8781.0,1297401,-29280,4626807,,,,
2024-01-31,Kenya Grace - Strangers,11,3.0,153,2,11.0,166829,-3220.0,1128474,7242,24248427,,,,
2024-01-31,Doja Cat - Paint The Town Red,12,1.0,181,1,68.0,164903,-7246.0,1252742,8024,41557260,,,,
2024-01-31,Dom Dolla - Saving Up,13,-3.0,64,10,,158245,-20630.0,1024162,62369,4458228,,,,
2024-01-31,Zach Bryan - Something in the Orange,14,1.0,599,5,,155529,-975.0,1050461,-6506,62258325,,,,
2024-01-31,"Ariana Grande - yes, and?",15,-3.0,20,3,1.0,155060,-17426.0,1145474,-33166,3880921,,,,
2024-01-31,Morgan Wallen - Last Night,16,2.0,366,1,63.0,145276,3588.0,995728,-6306,63909312,,,,
2024-01-31,21 Savage - redrum,17,-1.0,20,15,,142976,-10022.0,964309,11169,2445221,,,,
2024-01-31,Natasha Bedingfield - Unwritten,18,1.0,32,14,,141449,-69.0,967877,-6315,3628974,,,,
2024-01-31,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",19,1.0,118,8,,134967,-303.0,918015,3427,15277269,,,,
2024-01-31,Sabrina Carpenter - Feather,20,-3.0,63,17,,134379,-9660.0,910472,3743,4726893,,,,
2024-01-31,Tyla - Water,21,,140,4,,128217,-2976.0,887511,-10017,19555015,,,,
2024-01-31,Dua Lipa - Houdini,22,1.0,83,7,,124013,-938.0,833386,-1216,9703474,,,,
2024-01-31,Vance Joy - Riptide,23,1.0,3380,9,,123000,-949.0,878931,-9561,135413780,,,,
2024-01-31,Olivia Rodrigo - vampire,24,1.0,216,1,4.0,121202,-319.0,818723,-1679,32577877,,,,
2024-01-31,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",25,2.0,80,25,,120545,3516.0,762545,19745,6044418,,,,
2024-01-31,Royel Otis - Murder on the Dance Floor - triple j Like A Version,26,-4.0,3,21,,119746,-9225.0,378535,119746,378535,,,,
2024-01-31,The Killers - Mr. Brightside,27,1.0,3190,10,,114964,3682.0,771950,4350,152119513,,,,
2024-01-31,Flo Milli - Never Lose Me,28,-2.0,19,26,,114603,-3582.0,727081,15874,1655664,,,,
2024-01-31,Tate McRae - exes,29,1.0,76,16,,108814,-274.0,725061,-4674,8244535,,,,
2024-01-31,Michael Marcagi - Scared To Start,30,3.0,19,30,,106875,248.0,668327,12955,1490830,,,,
2024-01-31,Dua Lipa - Dance The Night (From Barbie The Album),31,,251,3,2.0,106549,-2085.0,740415,-5545,31322361,,,,
2024-01-31,David Kushner - Daylight,32,,291,2,30.0,106178,-916.0,697131,5804,36778417,,,,
2024-01-31,"JID - Surround Sound (w/ 21 Savage, Baby Tate)",33,2.0,84,18,,105699,-220.0,716898,-13725,7739824,,,,
2024-01-31,OneRepublic - I Ain't Worried,34,,606,1,16.0,102878,-3446.0,716745,-9081,77461503,,,,
2024-01-31,Post Malone - Chemical,35,1.0,293,9,,102792,-1762.0,709305,7207,26929179,,,,
2024-01-31,Troye Sivan - Got Me Started,36,1.0,131,16,,102717,-571.0,669585,9253,11083020,,,,
2024-01-31,Luke Combs - Fast Car,37,3.0,314,3,5.0,100892,374.0,711316,-7187,40034060,,,,
2024-01-31,Fred again.. - leavemealone (w/ Baby Keem),38,-9.0,55,18,,100065,-10065.0,714188,-11446,5382578,,,,
2024-01-31,Mitski - My Love Mine All Mine,39,-1.0,134,11,,99472,-3696.0,669395,972,13644194,,,,
2024-01-31,YG Marley - Praise Jah In The Moonlight,40,-1.0,19,39,,98056,-2555.0,625700,19723,1322065,,,,
2024-01-31,Taylor Swift - Anti-Hero,41,1.0,468,1,32.0,95378,-291.0,631745,1904,61747356,,,,
2024-01-31,Ocean Alley - Confidence,42,-1.0,1047,4,,95063,-638.0,672923,-9723,50153805,,,,
