Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-02-23,SZA,Saturn,Top 50 Australia,19,815744,,
2024-02-23,SZA,Saturn,New Music Friday AU & NZ,1,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,SZA,Saturn,Hot Hits Australia,8,1401902,https://i.scdn.co/image/ab67706f00000003ea3f74df289fc1bfbba1a640,Selena Gomez
2024-02-23,SZA,Saturn,Breaking Hits,3,73071,https://i.scdn.co/image/ab67706f00000003684c5213a1a3bd9cb4bc6f07,KAROL G & Tiesto
2024-02-23,Selena Gomez,Love On,New Music Friday AU & NZ,2,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Selena Gomez,Love On,Hot Hits Australia,1,1401902,https://i.scdn.co/image/ab67706f00000003ea3f74df289fc1bfbba1a640,Selena Gomez
2024-02-23,Selena Gomez,Love On,Pop n' Fresh,1,120612,https://i.scdn.co/image/ab67706f0000000372a5f016cdc2b6009bc34590,Aleksiah
2024-02-23,Selena Gomez,Love On,Breaking Hits,1,73071,https://i.scdn.co/image/ab67706f00000003684c5213a1a3bd9cb4bc6f07,KAROL G & Tiesto
2024-02-23,Central Cee,I Will,New Music Friday AU & NZ,3,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Central Cee,I Will,A1,4,438451,https://i.scdn.co/image/ab67706f000000039937251c7cb219a8f9ae7305,Central Cee
2024-02-23,Central Cee,I Will,The Flavour,6,245664,https://i.scdn.co/image/ab67706f000000030c7899f3de0877f44ee9d965,Saweetie
2024-02-23,Central Cee,I Will,The Drip,5,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,Central Cee,I Will,Breaking Hits,15,73071,https://i.scdn.co/image/ab67706f00000003684c5213a1a3bd9cb4bc6f07,KAROL G & Tiesto
2024-02-23,Nick Ward,Gimme,New Music Friday AU & NZ,4,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Nick Ward,Gimme,Front Left,36,564431,https://i.scdn.co/image/ab67706f00000003649831996ba8dc89611d58a2,Royel Otis
2024-02-23,Nick Ward,Gimme,Indie Arrivals,1,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Bailey Zimmerman,Holy Smokes,New Music Friday AU & NZ,5,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Bailey Zimmerman,Holy Smokes,Fresh Country,5,379422,https://i.scdn.co/image/ab67706f00000003054c35bb8cebaae1f0b032ce,Beyonce
2024-02-23,Bailey Zimmerman,Holy Smokes,Breaking Hits,8,73071,https://i.scdn.co/image/ab67706f00000003684c5213a1a3bd9cb4bc6f07,KAROL G & Tiesto
2024-02-23,L.A.B.,Give Me That Feeling,New Music Friday AU & NZ,6,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,L.A.B.,Give Me That Feeling,Coffee + Chill,7,542477,,
2024-02-23,"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,New Music Friday AU & NZ,7,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,A1,13,438451,https://i.scdn.co/image/ab67706f000000039937251c7cb219a8f9ae7305,Central Cee
2024-02-23,"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,The Drip,3,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,the hybrid,2,26951,https://i.scdn.co/image/ab67706f0000000359400a6ff9489083e71f5074,Miles Nautu
2024-02-23,Kings of Leon,Mustang,New Music Friday AU & NZ,8,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Kings of Leon,Mustang,Rock Out.,1,90337,https://i.scdn.co/image/ab67706f00000003a7246d1c7bcf98801455109d,Kings Of Leon
2024-02-23,Missy Higgins,You Should Run,New Music Friday AU & NZ,9,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Justin Timberlake,Drown,New Music Friday AU & NZ,10,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Justin Timberlake,Drown,Pop n' Fresh,7,120612,https://i.scdn.co/image/ab67706f0000000372a5f016cdc2b6009bc34590,Aleksiah
2024-02-23,LE SSERAFIM,EASY,New Music Friday AU & NZ,11,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,JessB,Come Find Me,New Music Friday AU & NZ,12,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,JessB,Come Find Me,The Flavour,9,245664,https://i.scdn.co/image/ab67706f000000030c7899f3de0877f44ee9d965,Saweetie
2024-02-23,JessB,Come Find Me,The Drip,4,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,Jessie Murph,Son of a Bitch,New Music Friday AU & NZ,13,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Jessie Murph,Son of a Bitch,Fresh Country,4,379422,https://i.scdn.co/image/ab67706f00000003054c35bb8cebaae1f0b032ce,Beyonce
2024-02-23,"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,New Music Friday AU & NZ,14,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,A1,20,438451,https://i.scdn.co/image/ab67706f000000039937251c7cb219a8f9ae7305,Central Cee
2024-02-23,"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,Indie Arrivals,27,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,The Drip,11,89217,https://i.scdn.co/image/ab67706f00000003c4a20ab4a4114576167c0c37,JessB
2024-02-23,Bleachers,Me Before You,New Music Friday AU & NZ,15,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,Bleachers,Me Before You,Front Left,7,564431,https://i.scdn.co/image/ab67706f00000003649831996ba8dc89611d58a2,Royel Otis
2024-02-23,Bleachers,Me Before You,Indie Arrivals,4,70704,https://i.scdn.co/image/ab67706f00000003ff68e1c984fe714cb2edd5b9,Nick Ward
2024-02-23,Bleachers,Me Before You,Alt Here,1,47676,https://i.scdn.co/image/ab67706f00000003ca321816d4361582042dfa81,Bleachers
2024-02-23,aleksiah,24,New Music Friday AU & NZ,16,370765,https://i.scdn.co/image/ab67706f000000031ca8932a08b49c9aebc4669e,SZA
2024-02-23,aleksiah,24,Front Left,47,564431,https://i.scdn.co/image/ab67706f00000003649831996ba8dc89611d58a2,Royel Otis
2024-02-23,aleksiah,24,Pop n' Fresh,2,120612,https://i.scdn.co/image/ab67706f0000000372a5f016cdc2b6009bc34590,Aleksiah
