Date,Artist,Title,Playlist,Position,Followers
2024-02-16,"Flo Rida, Brian Kelley",Feels Right (I Love It),New Music Friday AU & NZ,45,370523
2024-02-16,Nokz78,TTS,New Music Friday AU & NZ,46,370523
2024-02-16,Nokz78,TTS,Beats n' Bars,10,95086
2024-02-16,Nokz78,TTS,The Drip,15,89180
2024-02-16,"John Summit, Hayla",Shiver,New Music Friday AU & NZ,47,370523
2024-02-16,"J.Tajor, William Singe",Like I Do (with William Singe),New Music Friday AU & NZ,48,370523
2024-02-16,"J.Tajor, William Singe",Like I Do (with William Singe),R&B Connect,1,198352
2024-02-16,Maina Doe,Witness,New Music Friday AU & NZ,49,370523
2024-02-16,Maina Doe,Witness,R&B Connect,15,198352
2024-02-16,Maina Doe,Witness,Indie Arrivals,8,70658
2024-02-16,"serpentwithfeet, Ty Dolla $ign, Yanga YaYa",Damn Gloves,New Music Friday AU & NZ,50,370523
2024-02-16,"Jason Derulo, David Guetta",Down,New Music Friday AU & NZ,51,370523
2024-02-16,"Jason Derulo, David Guetta",Down,New Dance Beats,11,139675
2024-02-16,Muroki,Bad Dreams,New Music Friday AU & NZ,52,370523
2024-02-16,Pretty Girl,All Away,New Music Friday AU & NZ,53,370523
2024-02-16,Pretty Girl,All Away,New Dance Beats,16,139675
2024-02-16,Strandz,"No Peace, No Time",New Music Friday AU & NZ,54,370523
2024-02-16,Strandz,"No Peace, No Time",Mellow Styles,14,96005
2024-02-16,Strandz,"No Peace, No Time",The Drip,14,89180
2024-02-16,Eyedress,Mrs. Valentine,New Music Friday AU & NZ,55,370523
2024-02-16,Eyedress,Mrs. Valentine,Indie Arrivals,23,70658
2024-02-16,Alf the Great,STUCK.,New Music Friday AU & NZ,56,370523
2024-02-16,Alf the Great,STUCK.,Indie Arrivals,27,70658
2024-02-16,"Gryffin, Rita Ora",LAST OF US (feat. Rita Ora),New Music Friday AU & NZ,57,370523
2024-02-16,"Gryffin, Rita Ora",LAST OF US (feat. Rita Ora),Dance Generation,10,411035
2024-02-16,"Gryffin, Rita Ora",LAST OF US (feat. Rita Ora),New Dance Beats,10,139675
2024-02-16,Full Flower Moon Band,West Side,New Music Friday AU & NZ,58,370523
2024-02-16,Full Flower Moon Band,West Side,Front Left,35,564386
2024-02-16,Full Flower Moon Band,West Side,Indie Arrivals,15,70658
2024-02-16,Full Flower Moon Band,West Side,Alt Here,3,47670
2024-02-16,SYML,The Walker,New Music Friday AU & NZ,59,370523
2024-02-16,Mzuki,Billionaire,New Music Friday AU & NZ,60,370523
2024-02-16,Mzuki,Billionaire,Beats n' Bars,14,95086
