Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,Jolyon Petch,Insomnia,Dance Generation,22,411392,https://i.scdn.co/image/ab67706f00000003ca5c889e8a97ec01a9f43827,Charli XCX
2024-03-01,Jolyon Petch,Insomnia,New Dance Beats,5,139750,https://i.scdn.co/image/ab67706f0000000350a673c01e9f44c9896a3ed3,"Flight Facilities, Owl Eyes"
2024-03-01,Two Another,act your age,New Music Friday AU & NZ,75,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Agung Mango,GUT,New Music Friday AU & NZ,76,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Agung Mango,GUT,The Drip,16,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,Agung Mango,GUT,the hybrid,7,26966,https://i.scdn.co/image/ab67706f0000000359400a6ff9489083e71f5074,Miles Nautu
2024-03-01,Kitschen Boy,Happy Place,New Music Friday AU & NZ,77,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Gabby Nacua, Déjà Miru",selfish,New Music Friday AU & NZ,78,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Gabby Nacua, Déjà Miru",selfish,R&B Connect,14,198449,https://i.scdn.co/image/ab67706f000000031873c18d49f70ac328def316,A.GIRL
2024-03-01,"Shannon Noll, Cosima De Vito",Don't You Wanna Stay,New Music Friday AU & NZ,79,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Abby Sage,"Three Floors, Three Doors",New Music Friday AU & NZ,80,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Kora,Falling For You,New Music Friday AU & NZ,81,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
