Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,Cat Burns,alone,Indie Arrivals,16,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Kacey Musgraves,Too Good to be True,New Music Friday AU & NZ,17,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Kacey Musgraves,Too Good to be True,Fresh Country,10,380126,https://i.scdn.co/image/ab67706f00000003a0f2446fcc59f5fd2fe8e52f,Bronson Diamond
2024-03-01,Kacey Musgraves,Too Good to be True,Pop n' Fresh,9,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,Kacey Musgraves,Too Good to be True,Chilled Hits,12,528048,,
2024-03-01,Kacey Musgraves,Too Good to be True,Coffee + Chill,6,544004,,
2024-03-01,"Diplo, Sharam, Pony",Anthem,New Music Friday AU & NZ,18,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Diplo, Sharam, Pony",Anthem,Dance Generation,6,411392,https://i.scdn.co/image/ab67706f00000003ca5c889e8a97ec01a9f43827,Charli XCX
2024-03-01,"Diplo, Sharam, Pony",Anthem,New Dance Beats,2,139750,https://i.scdn.co/image/ab67706f0000000350a673c01e9f44c9896a3ed3,"Flight Facilities, Owl Eyes"
2024-03-01,San Cisco,Consequence,New Music Friday AU & NZ,19,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,San Cisco,Consequence,Front Left,30,564613,https://i.scdn.co/image/ab67706f0000000369a21bba4be38cf223495aa2,Good Neighbours
2024-03-01,San Cisco,Consequence,Indie Arrivals,1,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Jordan Rakei,Learning,New Music Friday AU & NZ,20,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"ScHoolboy Q, Freddie Gibbs",oHio (feat. Freddie Gibbs),New Music Friday AU & NZ,21,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"ScHoolboy Q, Freddie Gibbs",oHio (feat. Freddie Gibbs),A1,18,438817,https://i.scdn.co/image/ab67706f0000000377e142a37a93ae224ad7cdb1,Cardi B
2024-03-01,"ScHoolboy Q, Freddie Gibbs",oHio (feat. Freddie Gibbs),The Flavour,11,245642,https://i.scdn.co/image/ab67706f000000030c7899f3de0877f44ee9d965,Saweetie
2024-03-01,"ScHoolboy Q, Freddie Gibbs",oHio (feat. Freddie Gibbs),The Drip,10,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,St. Vincent,Broken Man,New Music Friday AU & NZ,22,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,St. Vincent,Broken Man,Indie Arrivals,4,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,St. Vincent,Broken Man,Rock Out.,11,90566,https://i.scdn.co/image/ab67706f0000000322f9f53ad4072c05c72924b3,Mannequin Pussy
2024-03-01,St. Vincent,Broken Man,Alt Here,1,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,Olly Alexander (Years & Years),Dizzy,New Music Friday AU & NZ,23,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
