rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",1,1,130,"313497"
2,"spotify:track:6tNQ70jh4OwmPGpYy6R2o9","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",2,2,25,"290303"
3,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",1,3,95,"263515"
4,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",1,4,373,"253007"
5,"spotify:track:4m4BHvDfzIgj5LbQLuFiIp","Kanye West, Ty Dolla $ign","CARNIVAL","YZY",5,5,2,"228503"
6,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",1,6,151,"214873"
7,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",6,13,101,"190755"
8,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",4,12,184,"189029"
9,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",4,11,172,"180925"
10,"spotify:track:4E3XDKil4ElJt6sXuz5cc6","Kanye West, Ty Dolla $ign","BURN","YZY",9,9,2,"178298"
11,"spotify:track:0Tgm7wkLb0AfAHAZDschvD","Kanye West, Ty Dolla $ign","BACK TO ME","YZY",8,8,2,"165422"
12,"spotify:track:5rlXuCLnMdfo85079qXHoz","Kanye West, Ty Dolla $ign","FUK SUMN","YZY",10,10,2,"159425"
13,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",5,18,612,"147088"
14,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",2,20,165,"145791"
15,"spotify:track:4tKGFmENO69tZR9ahgZu48","Sophie Ellis-Bextor","Murder On The Dancefloor","Polydor Records",4,19,47,"142052"
16,"spotify:track:6OON4kMjTFqARMFrRbmlwy","Kanye West, Ty Dolla $ign","STARS","YZY",7,7,3,"141661"
17,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",13,32,32,"140573"
18,"spotify:track:787Y2idwCU2Rk60Prv4wpr","Dom Dolla","Saving Up","Three Six Zero Recordings",10,27,76,"140197"
19,"spotify:track:0Z7nGFVCLfixWctgePsRk9","Beyoncé","TEXAS HOLD 'EM","Parkwood Entertainment/Columbia",19,-1,1,"135427"
20,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",13,26,44,"134877"
21,"spotify:track:3h5TiWTqGxjSjFrbruPFH9","YG Marley","Praise Jah In The Moonlight","YG Marley Music",19,25,31,"134543"
22,"spotify:track:7K3BhSpAxZBznislvUMVtn","Morgan Wallen","Last Night","Big Loud Records / Mercury Records / Republic Records",1,21,378,"132832"
23,"spotify:track:1yeB8MUNeLo9Ek1UEpsyz6","Drake, Sexyy Red, SZA","Rich Baby Daddy (feat. Sexyy Red & SZA)","OVO/Republic",8,28,130,"129445"
24,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Warner Records",7,30,95,"128661"
25,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,24,193,"127323"
26,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",20,38,419,"126289"
27,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,33,480,"125731"
28,"spotify:track:1tz4np70ZKhzaXjdgl0J8i","Kanye West, Ty Dolla $ign","PAID","YZY",15,15,2,"123971"
29,"spotify:track:3qnbLYCLzKvGIQXFyopS2H","Kanye West, Ty Dolla $ign","TALKING","YZY",14,14,4,"120792"
30,"spotify:track:4YSa8VQxjzsski1DOsvkHH","Kanye West, Ty Dolla $ign","DO IT","YZY",17,17,2,"120476"
31,"spotify:track:7GUhiAHLoVy1V8ucQuZ3CB","The Weeknd, Playboi Carti, Madonna","Popular (with Playboi Carti & Madonna)","Universal Republic Records",5,31,256,"120262"
32,"spotify:track:7gaA3wERFkFkgivjwbSvkG","Ariana Grande","yes, and?","Republic Records",3,35,32,"118984"
33,"spotify:track:3Pbp7cUCx4d3OAkZSCoNvn","Michael Marcagi","Scared To Start","Warner Records",26,36,31,"117437"
34,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",4,39,152,"115403"
35,"spotify:track:1kuGVB7EU95pJObxwvfwKS","Olivia Rodrigo","vampire","Olivia Rodrigo PS",1,37,228,"114455"
36,"spotify:track:2Zo1PcszsT9WQ0ANntJbID","Sabrina Carpenter","Feather","Island Records",17,41,75,"111483"
37,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,49,431,"111381"
38,"spotify:track:6uTPdRrEDeH8Fyg5L5qmeU","Flo Milli","Never Lose Me","'94 Sounds/RCA Records",23,46,31,"111226"
39,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,40,396,"108982"
40,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","Liberation Records",9,42,2574,"108361"
41,"spotify:track:3aZSvXuZt8ymQeixzFQM9W","Kanye West, Ty Dolla $ign","KEYS TO MY LIFE","YZY",16,16,2,"106905"
42,"spotify:track:1swz9stsbG1p34SJHJqiww","Royel Otis","Murder on the Dance Floor - triple j Like A Version","triple j",21,48,15,"106613"
43,"spotify:track:4E63weMCaNZuGPEFMnuEi8","Tate McRae","exes","RCA Records Label",16,47,88,"106503"
44,"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","Lover","Taylor Swift",2,51,374,"102957"
45,"spotify:track:3IoAMvGFYzM05B64h7qmdf","Kanye West, Ty Dolla $ign","PAPERWORK","YZY",23,23,2,"101986"
46,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",2,50,305,"101420"
47,"spotify:track:1Lo0QY9cvc8sUB2vnIOxDT","Luke Combs","Fast Car","River House Artists/Columbia Nashville",3,45,326,"98315"
48,"spotify:track:4202KkXGtULRsbRocWSw09","Kanye West, Ty Dolla $ign","VULTURES","YZY",29,29,2,"97345"
49,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",11,53,146,"95387"
50,"spotify:track:7DPUuTaTZCtQ6o4Xx00qzT","Kanye West, Ty Dolla $ign","BEG FORGIVENESS","YZY",34,34,2,"94820"
51,"spotify:track:71MzcOebEC5KoWBbzvFPkj","Kanye West, Ty Dolla $ign","HOODRAT","YZY",22,22,2,"93510"
52,"spotify:track:7iUScoHKNJC5hqtA40vMlj","Fred again.., Baby Keem","leavemealone","Atlantic Records UK",18,62,67,"92579"
