rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",1,1,129,"322278"
2,"spotify:track:6tNQ70jh4OwmPGpYy6R2o9","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",2,4,24,"277842"
3,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",1,2,94,"260575"
4,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",1,3,372,"260230"
5,"spotify:track:4m4BHvDfzIgj5LbQLuFiIp","Kanye West, Ty Dolla $ign","CARNIVAL","YZY",5,-1,1,"240450"
6,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",1,5,150,"217218"
7,"spotify:track:6OON4kMjTFqARMFrRbmlwy","Kanye West, Ty Dolla $ign","STARS","YZY",7,150,2,"217118"
8,"spotify:track:0Tgm7wkLb0AfAHAZDschvD","Kanye West, Ty Dolla $ign","BACK TO ME","YZY",8,-1,1,"215265"
9,"spotify:track:4E3XDKil4ElJt6sXuz5cc6","Kanye West, Ty Dolla $ign","BURN","YZY",9,-1,1,"210913"
10,"spotify:track:5rlXuCLnMdfo85079qXHoz","Kanye West, Ty Dolla $ign","FUK SUMN","YZY",10,-1,1,"202223"
11,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",4,8,171,"190944"
12,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",4,6,183,"190469"
13,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",6,7,100,"186037"
14,"spotify:track:3qnbLYCLzKvGIQXFyopS2H","Kanye West, Ty Dolla $ign","TALKING","YZY",14,47,3,"185252"
15,"spotify:track:1tz4np70ZKhzaXjdgl0J8i","Kanye West, Ty Dolla $ign","PAID","YZY",15,-1,1,"182797"
16,"spotify:track:3aZSvXuZt8ymQeixzFQM9W","Kanye West, Ty Dolla $ign","KEYS TO MY LIFE","YZY",16,-1,1,"175219"
17,"spotify:track:4YSa8VQxjzsski1DOsvkHH","Kanye West, Ty Dolla $ign","DO IT","YZY",17,-1,1,"162405"
18,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",5,14,611,"153624"
19,"spotify:track:4tKGFmENO69tZR9ahgZu48","Sophie Ellis-Bextor","Murder On The Dancefloor","Polydor Records",4,9,46,"150597"
20,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",2,11,164,"149540"
21,"spotify:track:7K3BhSpAxZBznislvUMVtn","Morgan Wallen","Last Night","Big Loud Records / Mercury Records / Republic Records",1,18,377,"142409"
22,"spotify:track:71MzcOebEC5KoWBbzvFPkj","Kanye West, Ty Dolla $ign","HOODRAT","YZY",22,-1,1,"142164"
23,"spotify:track:3IoAMvGFYzM05B64h7qmdf","Kanye West, Ty Dolla $ign","PAPERWORK","YZY",23,-1,1,"141872"
24,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,13,192,"137486"
25,"spotify:track:3h5TiWTqGxjSjFrbruPFH9","YG Marley","Praise Jah In The Moonlight","YG Marley Music",19,19,30,"137478"
26,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",13,15,43,"135078"
27,"spotify:track:787Y2idwCU2Rk60Prv4wpr","Dom Dolla","Saving Up","Three Six Zero Recordings",10,12,75,"134309"
28,"spotify:track:1yeB8MUNeLo9Ek1UEpsyz6","Drake, Sexyy Red, SZA","Rich Baby Daddy (feat. Sexyy Red & SZA)","OVO/Republic",8,16,129,"133747"
29,"spotify:track:4202KkXGtULRsbRocWSw09","Kanye West, Ty Dolla $ign","VULTURES","YZY",29,-1,1,"133054"
30,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Warner Records",7,17,94,"132524"
31,"spotify:track:7GUhiAHLoVy1V8ucQuZ3CB","The Weeknd, Playboi Carti, Madonna","Popular (with Playboi Carti & Madonna)","Universal Republic Records",5,10,255,"132359"
32,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",13,20,31,"130843"
33,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,22,479,"128110"
34,"spotify:track:7DPUuTaTZCtQ6o4Xx00qzT","Kanye West, Ty Dolla $ign","BEG FORGIVENESS","YZY",34,-1,1,"125817"
35,"spotify:track:7gaA3wERFkFkgivjwbSvkG","Ariana Grande","yes, and?","Republic Records",3,21,31,"121376"
36,"spotify:track:3Pbp7cUCx4d3OAkZSCoNvn","Michael Marcagi","Scared To Start","Warner Records",26,31,30,"119807"
37,"spotify:track:1kuGVB7EU95pJObxwvfwKS","Olivia Rodrigo","vampire","Olivia Rodrigo PS",1,25,227,"119428"
38,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",20,26,418,"119369"
39,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",4,23,151,"116298"
40,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,24,395,"114676"
